,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,Time,Year,Month
0,2022-10-28 17:40:11,7.1N,118.9W,45.0,,,,,47000000000.0,0.16,2022-10-28,17:40:11,2022,October
1,2022-10-20 20:55:07,26.6N,165.1E,65.6,,,,,47000000000.0,0.16,2022-10-20,20:55:07,2022,October
2,2022-09-15 02:49:02,22.7N,97.6E,31.5,,,,,27000000000.0,0.095,2022-09-15,02:49:02,2022,September
3,2022-09-14 23:31:15,40.8N,63.4E,35.8,17.4,-13.9,-4.3,9.5,32000000000.0,0.11,2022-09-14,23:31:15,2022,September
4,2022-09-04 03:54:55,20.0N,165.9E,14.0,21.9,18.4,-11.4,-3.5,24000000000.0,0.086,2022-09-04,03:54:55,2022,September
5,2022-08-21 16:35:49,6.3S,51.5E,37.0,,,,,21000000000.0,0.076,2022-08-21,16:35:49,2022,August
6,2022-08-14 07:39:18,35.0S,78.4E,55.5,,,,,468000000000.0,1.2,2022-08-14,07:39:18,2022,August
7,2022-07-28 01:36:08,6.0S,86.9W,37.5,29.9,-17.1,23.5,-7.2,251000000000.0,0.68,2022-07-28,01:36:08,2022,July
8,2022-07-27 04:41:30,44.8S,2.9W,38.1,19.8,-6.1,17.7,6.5,524000000000.0,1.3,2022-07-27,04:41:30,2022,July
9,2022-07-25 07:28:17,40.5S,76.6E,33.6,15.2,-2.1,-2.2,14.9,87000000000.0,0.27,2022-07-25,07:28:17,2022,July
10,2022-07-22 00:16:19,23.3S,20.5W,32.7,17.4,-7.1,15.5,-3.3,60000000000.0,0.19,2022-07-22,00:16:19,2022,July
11,2022-07-20 10:56:53,43.0S,59.6W,32.2,16.0,-0.9,15.6,-3.6,86000000000.0,0.27,2022-07-20,10:56:53,2022,July
12,2022-07-08 01:36:37,21.3N,130.1E,22.0,20.2,17.9,-4.1,-8.3,27000000000.0,0.095,2022-07-08,01:36:37,2022,July
13,2022-07-07 01:49:26,41.7S,175.0E,35.0,,,,,734000000000.0,1.8,2022-07-07,01:49:26,2022,July
